gene,mRNA_level
pqiB,622.926
ymbA,554.372
rmf,5587.92
fabA,1774.17
ycbZ,1023.59
ycbG,1095.01
ompA,8694.7
sulA,730.459
yccR,478.721
yccS,691.027
yccF,915.957
helD,996.818
mgsA,1547.4
yccT,406.122
yccU,1002.68
yccV,1415.66
yccW,1528.75
yccX,618.786
yccK,457.01
yccA,2705.66
hyaA,129.251
hyaB,564.831
hyaC,261.371
hyaD,42.8098
hyaE,378.263
hyaF,7.82171
appC,643.98
appB,60.1346
appA,154.474
yccC,208.638
yccY,443.718
yccZ,180.331
ymcA,N.D.
ymcB,62.4914
ymcC,168.272
ymcD,489.106
insB_4,N.D.
cspH,382.37
cspG,585.887
sfa,230.867
yccM,41.4578
torS,235.749
torT,266.422
torR,312.555
torC,521.703
torA,762.561
torD,129.488
yccD,873.908
cbpA,1786.03
yccE,62.2624
agp,639.418
yccJ,1579.5
wrbA,2965.43
ycdF,728.219
ycdG,144.616
ycdH,430.285
ycdI,264.551
ycdJ,150.979
ycdK,736.406
ycdL,99.4951
ycdM,226.406
ycdC,284.307
putA,277.527
putP,1728.72
ycdN,N.D.
ycdO,1212.96
ycdB,611.368
phoH,666.93
ycdP,132.192
ycdQ,107.4
ycdR,110.513
ycdS,144.856
ycdT,393.619
tra5_3,480.188
ycdU,95.6422
ycdW,2053.5
ycdX,1351.94
ycdY,1153.89
ycdZ,849.431
csgG,399.149
csgF,676.609
csgE,433.348
csgD,825.419
csgB,224.25
csgA,313.201
csgC,19.5411
ymdA,278.969
ymdB,743.724
ymdC,177.339
mdoC,244.436
mdoG,2307.72
mdoH,926.807
yceK,751.12
msyB,4520.99
yceE,184.904
htrB,782.502
yceA,2024.41
yceI,1081.32
yceJ,375.087
yceO,38.3624
solA,748.421
yceP,434.035
dinI,1303.91
pyrC,3121.9
yceB,807.409
grxB,2068.85
yceL,1092.71
rimJ,1841.94
yceH,3376.62
mviM,772.056
mviN,463.279
flgN,485.193
flgM,294.726
flgA,385.962
flgB,418.326
flgC,627.357
flgD,412.835
flgE,230.769
flgF,201.66
flgG,269.846
flgH,99.811
flgI,247.413
flgJ,397.669
flgK,189.452
flgL,299.971
rne,1548.87
rluC,943.96
yceF,803.606
yceD,5978.22
rpmF,4090.26
plsX,2498.99
fabH,3140.63
fabD,3554.68
fabG,4712.28
acpP,6826.66
fabF,667.651
pabC,473.977
yceG,673.047
tmk,943.021
holB,540.672
ycfH,1081.96
ptsG,3839.15
fhuE,76.1279
ycfF,2073.57
ycfL,2187.67
ycfM,1698.49
ycfN,2096.32
nagZ,1869.16
ycfP,2460.55
ndh,586.91
ycfJ,176.32
ycfQ,821.769
ycfR,960.012
ycfS,421.982
mfd,912.142
ycfT,102.296
ycfU,797.881
ycfV,580.223
ycfW,899.058
ycfX,1038.51
cobB,1743.23
ycfZ,38.9046
ymfA,196.406
potD,2673.62
potC,2315.49
potB,750.941
potA,1496.07
pepT,499.659
ycfD,1392.1
phoQ,728.758
phoP,2508.81
purB,2911.78
ycfC,1947.81
trmU,1764.03
ymfB,597.81
ymfC,495.543
icdA,8134.54
ymfD,34.9497
ymfE,293.55
lit,47.7904
intE,232.022
ymfH,154.126
ymfI,940.951
ymfJ,177.533
ymfK,424.731
ymfL,123.806
ymfM,341.767
ymfN,134.933
ymfR,1999.2
ymfO,226.538
ymfP,487.742
ymfQ,313.366
ycfK,294.309
ymfS,46.216
tfaE,213.827
stfE,78.4885
pin,173.362
mcrA,211.88
ycgW,25.9571
ycgX,50.9298
ycgE,628.848
ycgF,169.173
ycgZ,311.475
ymgA,868.534
ymgB,155.132
ymgC,40.2314
ycgG,9.73646
ycgH,N.D.
ymgD,374.894
minE,2385.81
minD,2724.44
minC,2840.25
ycgJ,774.956
ycgK,885.06
ycgL,1065.35
ycgM,832.572
ycgN,1105.01
hlyE,481.68
umuD,184.45
umuC,162.933
dsbB,748.21
nhaB,893.713
fadR,981.865
ycgB,736.904
dadA,611.816
dadX,355.174
ycgO,351.255
ldcA,995.805
mltE,1043.57
ycgR,96.3947
ymgE,1223.92
ycgY,94.9341
treA,510.945
dhaM,839.445
dhaL,1321.7
dhaK,1152.4
dhaR,348.764
ycgV,71.8226
ychF,1331.19
pth,973.051
ychH,484.471
ychM,139.055
prsA,2016.52
ispE,4531.44
hemM,1718.18
hemA,993.589
prfA,661.208
hemK,420.896
ychQ,98.1317
ychA,1567.66
kdsA,2027.15
ldrA,N.D.
ldrB,N.D.
ldrC,N.D.
chaA,486.735
chaB,1009.29
chaC,854.135
ychN,1016.63
ychP,382.189
narL,1464.42
narX,1409.16
narK,241.812
narG,815.386
narH,994.714
narJ,657.96
narI,581.365
tpr,167.839
purU,1847.87
ychJ,1299.28
ychK,1047.43
hnr,1669.42
galU,1499.81
hns,5202.07
tdk,811.597
ychG,102.51
adhE,2285.84
ychE,147.848
oppA,2760.77
oppB,1273.65
oppC,1500.41
oppD,1248.27
oppF,972.244
yciU,1433.2
cls,1043.08
kch,652.167
yciI,1338.41
tonB,1007.75
yciA,1221.85
ispZ,883.25
yciC,1093.55
yciD,458.798
yciE,227.524
yciF,513.084
yciG,626.958
trpA,2611.81
trpB,3677.69
trpC,3650.77
trpD,2106.12
trpE,2150.5
trpL,2144.18
yciV,1904.49
yciO,1055.7
yciQ,212.724
yciL,1896.92
btuR,436.81
yciK,921.616
sohB,910.365
yciN,658.952
topA,1162.33
cysB,681.343
acnA,1052.47
ribA,1028.31
pgpB,1323.62
yciS,845.96
yciM,407.423
pyrF,1229.14
yciH,1474.37
osmB,1215.32
yciT,624.783
yciR,504.179
rnb,1962.19
yciW,1895.7
fabI,2579.76
ycjD,73.745
sapF,645.055
sapD,380.616
sapC,485.185
sapB,250.834
sapA,629.757
ymjA,704.479
ycjJ,524.831
ycjK,1212.39
ycjL,1575.79
ycjC,897.256
aldH,777.337
ordL,1396.5
goaG,1131.35
pspF,302.309
pspA,807.357
pspB,962.075
pspC,509.549
pspD,511.24
pspE,557.799
ycjM,103.773
ycjN,77.6794
ycjO,83.4329
ycjP,392.497
ycjQ,298.929
ycjR,161.425
ycjS,116.668
ycjT,66.863
ycjU,41.7777
ycjV,495.988
ompG,187.336
ycjW,541.134
ycjX,653.897
ycjF,573.118
tyrR,653.564
tpx,3783.34
ycjG,1175.14
ycjI,500.825
ycjY,450.79
ycjZ,377.791
mppA,361.199
ynaI,493.881
trs5_4,N.D.
ynaJ,2218.13
ydaA,1575.38
fnr,2785.48
ogt,365.654
abgT,120.303
abgB,83.5342
abgA,630.683
abgR,300.147
ydaL,603.839
ydaM,511.183
ydaN,397.735
dbpA,555.177
ydaO,721.075
intR,475.925
xisR,15.608
ydaC,24.2873
lar,44.8194
recT,195.268
recE,186.131
racC,46.4257
kil,43.1345
sieB,29.0955
ydaG,181.988
racR,1242.09
ydaS,78.5642
ydaT,115.562
ydaU,399.372
ydaV,219.124
ydaW,220.935
rzpR,127.683
trkG,178.719
ynaK,396.515
ydaY,95.9611
ynaA,65.1754
trs5_5,1107.01
stfR,226.234
tfaR,N.D.
pinR,132.714
ynaE,66.1991
ynaF,1175.35
ompN,118.863
ydbK,433.513
hslJ,449.096
ldhA,856.726
ydbH,351.024
ynbE,260.386
ydbL,510.548
feaR,90.2765
feaB,347.676
tynA,44.4274
paaZ,675.574
paaA,70.1681
paaB,169.756
paaC,309.076
paaD,103.152
paaE,782.985
paaF,311.721
paaG,139.781
paaH,584.547
paaI,79.3266
paaJ,414.18
paaK,241.194
paaX,300.162
paaY,447.729
yi22_2,1302.87
yi21_2,N.D.
tra8_2,N.D.
ydbA,N.D.
ydbC,624.248
ydbD,668.092
ynbA,315.577
ynbB,86.0602
ynbC,93.3176
ynbD,442.424
acpD,824.26
hrpA,1189.19
ydcF,408.77
aldA,1231.32
gapC,N.D.
cybB,1671.81
ydcA,676.379
hokB,N.D.
mokB,211.367
trg,628.679
ydcI,509.103
ydcJ,185.381
ydcG,393.796
ydcH,217.959
rimL,366.483
ydcK,422.357
tehA,450.546
tehB,699.924
ydcL,776.86
ydcM,595.693
ydcO,214.274
ydcN,227.096
ydcP,1267.99
yncJ,286.418
ydcQ,690.974
ydcR,299.476
ydcS,496.416
ydcT,393.158
ydcU,114.502
ydcV,315.181
ydcW,620.691
ydcX,486.881
ydcY,906.865
ydcZ,336.046
yncA,1140.11
yncB,755.558
yncC,286.914
yncD,230.389
yncE,1349.79
ansP,566.908
yncG,238.677
yncH,101.042
rhsE,62.2045
ydcD,134.892
ydcC,N.D.
ydcE,975.904
yddH,354.456
nhoA,282.095
yddE,315.786
narV,130.541
narW,314.779
narY,365.178
narZ,362.657
narU,616.399
yddJ,2.77694
yddK,19.8886
yddG,421.826
fdnG,287.312
fdnH,547.61
fdnI,90.9375
yddM,868.17
adhP,1189.54
sfcA,1455.93
rpsV,5934.02
bdm,410.725
osmC,2646.14
yddO,260.88
yddP,93.1116
yddQ,99.6088
yddR,201.592
yddS,108.635
ddpX,414.415
dos,153.458
yddV,284.158
yddW,364.691
xasA,1301.65
gadB,2394.33
pqqL,85.1432
yddB,116.88
yddA,113.672
ydeM,23.4906
ydeN,114.924
ydeO,39.7846
ydeP,57.6171
ydeQ,61.0096
ydeR,109.547
ydeS,94.4548
hipA,369.253
hipB,513.787
ydeU,716.129
ydeK,333.527
ydeV,125.471
ydeW,400.76
ego,98.2582
ydeY,320.168
ydeZ,124.487
yneA,328.009
yneB,641.609
yneC,251.889
tam,733.035
yneE,414.683
uxaB,232.888
yneF,199.328
yneG,903.003
yneH,725.762
yneI,587.351
yneJ,149.142
yneK,35.7807
sotB,449.045
marC,393.238
marR,963.588
marA,912.475
marB,117.256
eamA,923.674
ydeE,493.248
ydeH,241.199
ydeI,858.477
ydeJ,256.953
dcp,940.62
ydfG,1963.47
ydfH,535.591
ydfZ,383.828
ydfI,305.901
ydfJ,217.03
ydfK,N.D.
pinQ,N.D.
tfaQ,215.527
stfQ,1613.54
nohA,113.499
ydfO,55.0155
gnsB,1301.59
ynfN,174.374
cspI,46.0567
ydfP,119.935
ydfQ,121.984
ydfR,77.506
essQ,617.235
cspB,77.4817
cspF,200.307
ydfT,831.47
ydfU,300.581
rem,171.265
hokD,454.447
relE,632.762
relB,1317.44
ydfV,204.2
flxA,146.576
ydfW,225.366
ydfX,43.4998
dicC,165.484
dicA,1190.57
ydfA,110.245
ydfB,242.383
ydfC,225.929
dicB,65.7948
ydfD,N.D.
ydfE,71.4181
intQ,130.745
rspB,71.7377
rspA,61.9635
ynfA,650.627
ynfB,2392.25
speG,1587.56
ynfC,557.147
ynfD,786.732
ynfE,41.5273
ynfF,101.369
ynfG,101.3
ynfH,435.406
ynfI,903.527
ynfJ,114.34
ynfK,135.63
mlc,593.174
ynfL,1149.97
ynfM,106.138
asr,564.556
ydgD,595.636
ydgE,276.034
ydgF,434.474
ydgG,86.4013
pntB,2995.21
pntA,6016.61
ydgH,1327.16
ydgI,264.419
ydgB,617.547
ydgC,604.506
rstA,930.634
rstB,497.051
tus,299.219
fumC,537.35
fumA,1290.21
manA,858.638
ydgA,1494.91
uidC,117.851
uidB,945.083
uidA,428.275
uidR,1327.54
hdhA,1622.65
malI,303.59
malX,268.135
malY,274.163
add,638.96
ydgJ,1130.02
blr,N.D.
ydgT,495.886
ydgK,472.345
rnfA,640.795
rnfB,959.524
rnfC,816.834
